stage,experiment,task_id,model_name,lang,size,tune,param_mode,head_type,truncation,data_variant,loss_type,input_mode,f1_macro,f1_micro,f1_weighted,accuracy
stage1,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.6105547184614087,0.6915584415584416,0.6886984719909283,0.6915584415584416
stage4,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_WCE_augmentedData_enriched,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,augmentedData,WCE,enriched,0.6101710690419017,0.6655844155844156,0.676293787744617,0.6655844155844156
stage2,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.610071790708595,0.6688311688311688,0.6773825118912988,0.6688311688311688
stage2,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.608407048189712,0.7142857142857143,0.7117401990686915,0.7142857142857143
stage1,t1_mbert_multi_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.6083202061001343,0.6493506493506493,0.6584569047677457,0.6493506493506493
stage3,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_FOCAL-Dropout10_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,originalData,FOCAL-Dropout10,atomic,0.6075603051448462,0.6753246753246753,0.6783192677132072,0.6753246753246753
stage1,t1_bert_en_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.6065294416030694,0.6948051948051948,0.693406779149751,0.6948051948051948
stage4,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_WCE_originalData_enriched,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,originalData,WCE,enriched,0.6061831172001148,0.685064935064935,0.6875624423269361,0.685064935064935
stage4,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_WCE_augmentedData_enriched,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,augmentedData,WCE,enriched,0.6058946557252317,0.6818181818181818,0.6848143579542536,0.6818181818181818
stage1,t1_roberta_en_large_unfreezing25_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,defaultHead,head,originalData,WCE,atomic,0.6036472306482418,0.6525974025974026,0.6634452833987717,0.6525974025974026
stage4,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_enriched,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,enriched,0.6031366846697134,0.672077922077922,0.6793112890433206,0.672077922077922
stage2,t1_bert_en_base_lora16_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,multiLayerHead,head,originalData,WCE,atomic,0.6013960559933786,0.6753246753246753,0.6795876101120083,0.6753246753246753
stage2,t1_mbert_multi_base_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.601061687032688,0.6525974025974026,0.6657241668442906,0.6525974025974026
stage1,t1_roberta_en_base_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.6003211485174224,0.6525974025974026,0.6610983769886527,0.6525974025974026
stage1,t1_mbert_multi_base_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.5997889442548527,0.6883116883116883,0.6900634065753121,0.6883116883116883
stage1,t1_mbert_multi_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5968959964462214,0.6396103896103896,0.6464273274618102,0.6396103896103896
stage4,t1_bert_en_base_lora16_fixed_defaultHead_head-tail_WCE_augmentedData_enriched,t1,bert-base,en,base,lora16,fixed,defaultHead,head-tail,augmentedData,WCE,enriched,0.5958642629904559,0.6785714285714286,0.6794345898004435,0.6785714285714286
stage2,t1_bert_en_base_lora16_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,bert-base,en,base,lora16,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.5944431485814958,0.6688311688311688,0.6704275767465389,0.6688311688311688
stage2,t1_mbert_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,atomic,0.5942408328726736,0.7142857142857143,0.7040538828225396,0.7142857142857143
stage4,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_WCE_augmentedData_enriched,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,augmentedData,WCE,enriched,0.5939544816993837,0.5909090909090909,0.6037992656987917,0.5909090909090909
stage2,t1_xlmr_multi_large_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.5933287595151753,0.6396103896103896,0.6496285151680623,0.6396103896103896
stage1,t1_roberta_en_large_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5929826626449888,0.6233766233766234,0.6365464653789528,0.6233766233766234
