stage,experiment,task_id,model_name,lang,size,tune,param_mode,head_type,truncation,data_variant,loss_type,input_mode,f1_macro,f1_micro,f1_weighted,accuracy
stage4,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_WCE_augmentedData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,augmentedData,WCE,atomic,0.5488605125476633,0.5974025974025974,0.6121848688688274,0.5974025974025974
stage2,t1_xlmr_multi_large_unfreezing25_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.5479890560875513,0.6655844155844156,0.6561942366798729,0.6655844155844156
stage2,t1_xlmr_multi_base_unfreezing25_fixed_avgPoolHead_head-tail_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,avgPoolHead,head-tail,originalData,WCE,atomic,0.5469023341830359,0.6493506493506493,0.6479243222664275,0.6493506493506493
stage3,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_FOCAL-Dropout30_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,FOCAL-Dropout30,atomic,0.5454152482064893,0.5584415584415584,0.570597133018156,0.5584415584415584
stage1,t1_bert_en_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,bert-base,en,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5444502054412615,0.6201298701298701,0.6309708483407167,0.6201298701298701
stage1,t1_xlmr_multi_large_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.541389315582864,0.6688311688311688,0.6420575072648805,0.6688311688311688
stage3,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_FOCAL-Dropout10_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,FOCAL-Dropout10,atomic,0.5408326073216146,0.6103896103896104,0.6230506335769493,0.6103896103896104
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_Q-CTX-A-Q_gattncls_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,Q-CTX-A-Q,augmentedData,gattncls,0.5396541702993316,0.7045454545454546,0.6668523099974712,0.7045454545454546
stage4,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_augmentedData_enriched,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,augmentedData,WCE,enriched,0.5390075276815057,0.6623376623376623,0.6627976778795751,0.6623376623376623
stage3,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_FOCAL-Dropout30_originalData_atomic,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,FOCAL-Dropout30,atomic,0.5384831659670936,0.6006493506493507,0.624942167046067,0.6006493506493507
exploratory_experiments,t1_longformer_en_base_partial_fixed_defaultHead_head_augmentedData_CTX-Q-A_gattncls_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,defaultHead,head,CTX-Q-A,augmentedData,gattncls,0.5373647068562323,0.7045454545454546,0.6557127295626085,0.7045454545454546
stage1,t1_xlmr_multi_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5368590782144456,0.5941558441558441,0.6066585719515868,0.5941558441558441
stage3,t1_deberta_en_base_unfreezing25_fixed_multiLayerHead_head-tail_WCE-Dropout30_originalData_atomic,t1,deberta-base,en,base,unfreezing25,fixed,multiLayerHead,head-tail,originalData,WCE-Dropout30,atomic,0.5360707919531449,0.5941558441558441,0.6158287281854891,0.5941558441558441
stage1,t1_xlmr_multi_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5356747371041594,0.6590909090909091,0.6322638203945105,0.6590909090909091
stage4,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_enriched,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,enriched,0.534133244845322,0.6006493506493507,0.6067589950133426,0.6006493506493507
stage2,t1_xlmr_multi_base_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.5331821437097158,0.6493506493506493,0.6329731082953809,0.6493506493506493
stage3,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_WCE-Dropout30_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,originalData,WCE-Dropout30,atomic,0.529441770054662,0.5681818181818182,0.5906870623408138,0.5681818181818182
stage2,t1_roberta_en_base_unfreezing75_fixed_multiLayerHead_head-tail_WCE_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,multiLayerHead,head-tail,originalData,WCE,atomic,0.5279064576841583,0.6038961038961039,0.6156910555690244,0.6038961038961039
stage2,t1_xlmr_multi_large_unfreezing25_fixed_multiLayerHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,multiLayerHead,head,originalData,WCE,atomic,0.5251100145010189,0.5714285714285714,0.5879794947827978,0.5714285714285714
stage4,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_WCE_augmentedData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,augmentedData,WCE,atomic,0.5226898053181984,0.5454545454545454,0.5608320567719911,0.5454545454545454
stage3,t1_roberta_en_large_unfreezing25_fixed_avgPoolHead_head_FOCAL-Dropout30_originalData_atomic,t1,roberta-large,en,large,unfreezing25,fixed,avgPoolHead,head,originalData,FOCAL-Dropout30,atomic,0.520734667410609,0.5551948051948052,0.5739653669262071,0.5551948051948052
stage4,t1_mbert_multi_base_unfreezing25_fixed_defaultHead_head_WCE_originalData_enriched,t1,mbert-base,multi,base,unfreezing25,fixed,defaultHead,head,originalData,WCE,enriched,0.5180213464696223,0.6233766233766234,0.6265006237604759,0.6233766233766234
stage3,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE-Dropout30_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE-Dropout30,atomic,0.5175696190660406,0.5811688311688312,0.5974514299172724,0.5811688311688312
stage3,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_FOCAL-Dropout30_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,FOCAL-Dropout30,atomic,0.5145679384708189,0.5746753246753247,0.6011546024477709,0.5746753246753247
stage4,t1_mdeberta_multi_base_unfreezing25_fixed_avgPoolHead_head_WCE_originalData_enriched,t1,mdeberta-base,multi,base,unfreezing25,fixed,avgPoolHead,head,originalData,WCE,enriched,0.5083489705793695,0.6006493506493507,0.6098087188742709,0.6006493506493507
stage1,t1_xlmr_multi_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.5071907118385991,0.5974025974025974,0.5994950291429165,0.5974025974025974
stage1,t1_roberta_en_base_top2-lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-base,en,base,top2-lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.5041231798579615,0.538961038961039,0.5553054889293455,0.538961038961039
stage3,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_FOCAL-Dropout30_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,originalData,FOCAL-Dropout30,atomic,0.5038611933982226,0.5746753246753247,0.5885700435831626,0.5746753246753247
stage3,t1_roberta_en_base_unfreezing75_fixed_avgPoolHead_head-tail_WCE-Dropout30_originalData_atomic,t1,roberta-base,en,base,unfreezing75,fixed,avgPoolHead,head-tail,originalData,WCE-Dropout30,atomic,0.5022132385052093,0.5844155844155844,0.6045998138114926,0.5844155844155844
stage4,t1_xlmr_multi_base_unfreezing25_fixed_defaultHead_head_WCE_augmentedData_enriched,t1,xlmr-base,multi,base,unfreezing25,fixed,defaultHead,head,augmentedData,WCE,enriched,0.48425708708038173,0.5551948051948052,0.5726425072875921,0.5551948051948052
stage1,t1_mdeberta_multi_base_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.4709442153685417,0.6558441558441559,0.6205517410635862,0.6558441558441559
stage3,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_FOCAL-Dropout10_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,originalData,FOCAL-Dropout10,atomic,0.4332302064483489,0.6525974025974026,0.5641665409483984,0.6525974025974026
stage3,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_WCE-Dropout30_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,originalData,WCE-Dropout30,atomic,0.41552767559191545,0.6525974025974026,0.5933981049880408,0.6525974025974026
stage3,t1_xlmr_multi_large_unfreezing25_fixed_defaultHead_head-tail_FOCAL-Dropout30_originalData_atomic,t1,xlmr-large,multi,large,unfreezing25,fixed,defaultHead,head-tail,originalData,FOCAL-Dropout30,atomic,0.4145366682392228,0.6655844155844156,0.605198051230166,0.6655844155844156
stage1,t1_deberta_en_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.3501405420110904,0.5811688311688312,0.536647091471147,0.5811688311688312
stage1,t1_xlmr_multi_base_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.3487253487253487,0.6655844155844156,0.5582494705871329,0.6655844155844156
stage1,t1_mdeberta_multi_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.3405548176715225,0.5616883116883117,0.5313440027138799,0.5616883116883117
stage1,t1_xlmr_multi_base_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-base,multi,base,full,fixed,defaultHead,head,originalData,WCE,atomic,0.33974025974025973,0.6136363636363636,0.5390892224658459,0.6136363636363636
stage1,t1_deberta_en_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.3192836189593948,0.5194805194805194,0.49093194901439463,0.5194805194805194
stage1,t1_roberta_en_large_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,full,fixed,defaultHead,head,originalData,WCE,atomic,0.26718547341115434,0.6688311688311688,0.5361059174288746,0.6688311688311688
stage1,t1_roberta_en_large_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.26718547341115434,0.6688311688311688,0.5361059174288746,0.6688311688311688
stage1,t1_xlmr_multi_large_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.26718547341115434,0.6688311688311688,0.5361059174288746,0.6688311688311688
stage1,t1_deberta_en_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,deberta-base,en,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.20176366843033508,0.21103896103896103,0.10849996564282278,0.21103896103896103
exploratory_experiments,t1_longformer_en_base_partial_fixed_multilayerHead_head_augmentedData_CTX-Q-A_gattncls_L2048_lr2e-05_do0.10,t1,longformer-base,en,base,partial,fixed,multilayerHead,head,CTX-Q-A,augmentedData,gattncls,0.17052154195011338,0.24025974025974026,0.2086315045498719,0.24025974025974026
stage1,t1_roberta_en_large_unfreezing75_fixed_defaultHead_head_WCE_originalData_atomic,t1,roberta-large,en,large,unfreezing75,fixed,defaultHead,head,originalData,WCE,atomic,0.13608957795004306,0.2564935064935065,0.10471827913688378,0.2564935064935065
stage1,t1_xlmr_multi_large_full_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,full,fixed,defaultHead,head,originalData,WCE,atomic,0.13608957795004306,0.2564935064935065,0.10471827913688378,0.2564935064935065
stage1,t1_mdeberta_multi_base_lora16_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,lora16,fixed,defaultHead,head,originalData,WCE,atomic,0.13335949764521193,0.16558441558441558,0.22035872290974332,0.16558441558441558
stage1,t1_mdeberta_multi_base_lora8_fixed_defaultHead_head_WCE_originalData_atomic,t1,mdeberta-base,multi,base,lora8,fixed,defaultHead,head,originalData,WCE,atomic,0.04632426988922458,0.07467532467532467,0.010377839682975636,0.07467532467532467
stage1,t1_xlmr_multi_large_unfreezing50_fixed_defaultHead_head_WCE_originalData_atomic,t1,xlmr-large,multi,large,unfreezing50,fixed,defaultHead,head,originalData,WCE,atomic,0.04632426988922458,0.07467532467532467,0.010377839682975636,0.07467532467532467
